Date,mean_gate,p90_gate,p99_gate,mean_eta_gate,mean_cost_mod_ratio,phase_eta,phase_low,phase_high,phase_W,w_res,w_dir,w_amp,phase_alpha,phase_gamma
2025-10-16,0.08841245582704461,0.20171159522570442,0.3789294683477285,0.07957121024434015,0.08841245582595743,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-17,0.08939493922124375,0.19560909523088138,0.3444618447782583,0.08045544529911938,0.0893949392201506,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-20,0.09703291081365899,0.2433465404327585,0.3869414185553601,0.08732961973229308,0.09703291081257687,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-21,0.08945575167317711,0.2295520682261063,0.395112504962452,0.0805101765058594,0.08945575167208711,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-22,0.09513795512501766,0.2295239559961872,0.27577693953183197,0.08562415961251589,0.09513795512392059,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-23,0.09302999377140422,0.2017733926286176,0.37784862296102595,0.0837269943942638,0.09302999377030588,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-24,0.08924864374139586,0.19757304094889105,0.28315900082011597,0.08032377936725628,0.08924864374029319,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-27,0.09608409316033979,0.21004451352584533,0.27118591809097486,0.08647568384430582,0.09608409315924174,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-28,0.0903410178981962,0.20436250837152442,0.3529281272196513,0.08130691610837658,0.0903410178970972,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-29,0.09195416370269442,0.18856621379981958,0.3336196782809532,0.08275874733242498,0.09195416370160511,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-30,0.0883504062291957,0.20063119665424056,0.3592574292414095,0.07951536560627613,0.08835040622810161,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-10-31,0.0977959462684002,0.20408365385960558,0.39384182451662736,0.08801635164156019,0.09779594626731107,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
2025-11-03,0.09085500869185281,0.19474081373187263,0.3462428648133095,0.08176950782266754,0.09085500869076504,0.9,3,30,60,0.5,0.35,0.15,1.0,4.0
